case,implementation,trial,seconds,path
acs_ordered,native,0,2.316,native
acs_shuffled,native,0,5.731,native
acs_late_inversion,native,0,3.472,native
small_direct,native,0,1.894,native
small_hash,native,0,2.212,native
mostly_unmatched,native,0,0.035,native
acs_ordered,baseline,0,3.666,hash
acs_shuffled,baseline,0,3.916,hash
acs_late_inversion,baseline,0,3.404,hash
small_direct,baseline,0,0.207,direct
small_hash,baseline,0,0.369,hash
mostly_unmatched,baseline,0,0.058,hash
acs_ordered,candidate,0,1.505,ordered
acs_shuffled,candidate,0,4.386,hash
acs_late_inversion,candidate,0,1.433,hash
small_direct,candidate,0,0.191,direct
small_hash,candidate,0,0.334,hash
mostly_unmatched,candidate,0,0.051,ordered
acs_ordered,native,1,2.144,native
acs_shuffled,native,1,5.891,native
acs_late_inversion,native,1,3.46,native
small_direct,native,1,1.972,native
small_hash,native,1,2.368,native
mostly_unmatched,native,1,0.034,native
acs_ordered,baseline,1,3.456,hash
acs_shuffled,baseline,1,4.04,hash
acs_late_inversion,baseline,1,3.405,hash
small_direct,baseline,1,0.208,direct
small_hash,baseline,1,0.354,hash
mostly_unmatched,baseline,1,0.049,hash
acs_ordered,candidate,1,1.196,ordered
acs_shuffled,candidate,1,4.131,hash
acs_late_inversion,candidate,1,1.464,hash
small_direct,candidate,1,0.192,direct
small_hash,candidate,1,0.336,hash
mostly_unmatched,candidate,1,0.052,ordered
acs_ordered,baseline,2,3.494,hash
acs_shuffled,baseline,2,4.127,hash
acs_late_inversion,baseline,2,3.27,hash
small_direct,baseline,2,0.207,direct
small_hash,baseline,2,0.357,hash
mostly_unmatched,baseline,2,0.053,hash
acs_ordered,candidate,2,1.183,ordered
acs_shuffled,candidate,2,4.078,hash
acs_late_inversion,candidate,2,1.89,hash
small_direct,candidate,2,0.198,direct
small_hash,candidate,2,0.359,hash
mostly_unmatched,candidate,2,0.05,ordered
acs_ordered,native,2,2.168,native
acs_shuffled,native,2,6.141,native
acs_late_inversion,native,2,3.394,native
small_direct,native,2,2.113,native
small_hash,native,2,2.847,native
mostly_unmatched,native,2,0.05,native
acs_ordered,candidate,3,1.895,ordered
acs_shuffled,candidate,3,4.109,hash
acs_late_inversion,candidate,3,1.421,hash
small_direct,candidate,3,0.191,direct
small_hash,candidate,3,0.339,hash
mostly_unmatched,candidate,3,0.055,ordered
acs_ordered,native,3,2.231,native
acs_shuffled,native,3,6.127,native
acs_late_inversion,native,3,3.468,native
small_direct,native,3,2.105,native
small_hash,native,3,2.402,native
mostly_unmatched,native,3,0.038,native
acs_ordered,baseline,3,3.398,hash
acs_shuffled,baseline,3,4.14,hash
acs_late_inversion,baseline,3,3.313,hash
small_direct,baseline,3,0.219,direct
small_hash,baseline,3,0.368,hash
mostly_unmatched,baseline,3,0.071,hash
